model,training_mode,seed,task,family,background,split,group_keys,orientation,n_pairs,win_rate,tie_rate,loss_rate,pair_accuracy,win_rate_tol1e-06,tie_rate_tol1e-06,loss_rate_tol1e-06,pair_accuracy_tol1e-06,win_rate_tol1e-10,tie_rate_tol1e-10,loss_rate_tol1e-10,pair_accuracy_tol1e-10,mean_margin,median_margin,std_margin,flattened_auc,pair_accuracy_ci_lo,pair_accuracy_ci_hi,kappa_gap,chain_r,chain_s
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,72,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,52,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,79,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,56,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,test,orientation,1.0,5051,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,heldout,test,orientation,2.0,4949,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,heldout,test,kappa_gap,,3321,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
oracle,oracle,0,ocdet,two_hole,heldout,test,kappa_gap,,2689,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,
oracle,oracle,0,ocdet,two_hole,heldout,test,kappa_gap,,2008,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,
oracle,oracle,0,ocdet,two_hole,heldout,test,kappa_gap,,1313,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,,
oracle,oracle,0,ocdet,two_hole,heldout,test,kappa_gap,,669,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,352,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,326,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,323,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,334,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,339,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,353,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,316,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,297,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,341,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,345,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,336,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,375,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,303,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,345,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,352,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,294,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,319,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,324,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,295,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,351,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,323,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,365,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,test,chain_r+chain_s,,354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,orientation,1.0,1052,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,orientation,2.0,948,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,kappa_gap,,673,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,kappa_gap,,511,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,kappa_gap,,418,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,kappa_gap,,262,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,kappa_gap,,136,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,53,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,82,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,60,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,49,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,87,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,50,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,70,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,69,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,78,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,55,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,60,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,82,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,70,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,74,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,76,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,69,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,78,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,val,chain_r+chain_s,,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,orientation,1.0,5099,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,orientation,2.0,4901,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,kappa_gap,,3399,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,kappa_gap,,2701,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,kappa_gap,,1974,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,kappa_gap,,1310,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,kappa_gap,,616,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,351,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,337,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,365,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,329,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,309,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,362,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,353,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,363,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,341,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,362,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,319,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,308,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,4.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,316,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,312,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,319,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,297,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,2.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,352,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,3.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,320,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,5.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,348,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,6.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,1.0
oracle,oracle,0,ocnoisy,two_hole,clean,test,chain_r+chain_s,,362,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,2.0
